Chapter,Agency,Filed,Caption,AON,Type,id,country,data_source,doc_url
635,Department of Fish and Wildlife,09/21/2017 8:33 AM,Modifications to Columbia River Mainstem and Deep River Select Area Fisheries.,DFW 123-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842516
635,Department of Fish and Wildlife,09/21/2017 8:36 AM,Modifications to Columbia River Mainstem and Deep River Select Area Fisheries,DFW 124-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842517
635,Department of Fish and Wildlife,09/21/2017 8:47 AM,Pacific Halibut Recreational Summer All-Depth Season from Cape Falcon to Humbug Mt. Closed,DFW 125-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842518
165,"Secretary of State, Elections Division",09/21/2017 10:16 AM,"Revises timelines for a January 23, 2018, Special Election, if necessary",ELECT 5-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842527
635,Department of Fish and Wildlife,09/21/2017 10:47 AM,Modifications to Columbia River Mainstem and Deep River Deep River Select Area Fisheries.,DFW 129-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842522
635,Department of Fish and Wildlife,09/21/2017 4:14 PM,"2018 Big Game Tag Numbers, Dates and Regulations",DFW 122-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842513
436,"Department of Consumer and Business Services, Workers' Compensation Division",09/21/2017 4:44 PM,Determining the weekly wage for workers employed through a union hiring hall,WCD 4-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842514
165,"Secretary of State, Elections Division",09/25/2017 8:39 AM,Clarifies process of registering qualified individuals to vote using DMV data.,ELECT 6-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842529
635,Department of Fish and Wildlife,09/25/2017 8:56 AM,"Reopen Sport Groundfish Fishery For Some Species Outside 40 Fathoms, With Long-Leader Gear Required.",DFW 126-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842519
734,"Department of Transportation, Highway Division",09/26/2017 9:12 AM,Locations of Interstate Speed Limits; Speed Zone Definitions; Establishment of Speed Zones on Public Roads,HWD 2-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842555
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/26/2017 3:20 PM,Class C Non-Commercial Third Party Drive Testing Program,DMV 15-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842554
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/26/2017 4:04 PM,When DMV Can Issue Limited Term Commercial Learner Permit or Commercial Driver License,DMV 14-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842559
731,Department of Transportation,09/27/2017 9:09 AM,"Implementation of provisions of HB 2017, Connect Oregon",DOT 2-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842524
741,"Department of Transportation, Rail Division",09/27/2017 1:45 PM,State Safety Oversight of Rail Fixed Guideway Public Transportation Systems,RD 2-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842607
741,"Department of Transportation, Rail Division",09/27/2017 3:24 PM,State Safety Oversight of Rail Fixed Guideway Public Transportation Systems,RD 1-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842558
736,Parks and Recreation Department,09/28/2017 8:37 AM,Amend Camping Rates for State Parks,PRD 3-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842542
635,Department of Fish and Wildlife,09/28/2017 9:26 AM,Modifications to Columbia River Zone 6 and Select Area Fisheries.,DFW 127-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842520
461,"Department of Human Services, Self-Sufficiency Programs",09/28/2017 9:57 AM,Revising rules about self-sufficiency programs,SSP 26-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842556
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/29/2017 4:51 AM,In-Home Services Rule Amendment to Modify the Hours Authorization for Individuals,APD 21-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842539
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/29/2017 5:21 AM,State Plan Personal Care Rule update to support other 411 rule changes,APD 22-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842540
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/29/2017 6:07 AM,Adopting rules for Community-Based Care Transition Services,APD 23-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842541
459,Oregon Public Employees Retirement System,09/29/2017 9:35 AM,Clarify PERS membership of elected and appointed officers.,PERS 6-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842545
635,Department of Fish and Wildlife,09/29/2017 9:36 AM,"Increase Marine Fish Bag Limit for Longleader Fishing, and Prohibit Nearshore Rockfish",DFW 128-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842521
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/29/2017 9:44 AM,Eligibility and activities of daily living criteria for long-term care services,APD 19-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842525
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/29/2017 10:05 AM,Payment Limitations Rule Amendment to Update Rates and Support Other 411 Rule Changes,APD 20-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842526
918,"Department of Consumer and Business Services, Building Codes Division",09/29/2017 3:35 PM,Establishes Oregon Transitional Housing Standard,BCD 13-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842512
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",10/03/2017 9:02 AM,Revise Payment Methodology for Doula Services to Include a Global Rate of $350,DMAP 38-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842543
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",10/03/2017 9:26 AM,Allow Doula Providers to Bill Directly for Services Rendered,DMAP 39-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842544
309,"Oregon Health Authority, Health Systems Division: Behavioral Health Services",10/03/2017 10:05 AM,Emergency Rules Revisions Required to Identify Actions Placed on Any State Issued License,MHS 11-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842546
309,"Oregon Health Authority, Health Systems Division: Behavioral Health Services",10/03/2017 11:23 AM,Emergency Rules Revisions Required to Identify Actions Placed on Any State Issued License,MHS 12-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842547
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",10/03/2017 3:10 PM,Amends Rules Pursuant to Federal Covered Outpatient Drug Final Rule (CMS 2345-FC),DMAP 42-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842563
461,"Department of Human Services, Self-Sufficiency Programs",10/04/2017 10:26 AM,Revising rule about liens,SSP 27-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842557
845,Oregon Liquor Control Commission,10/05/2017 1:18 PM,The amendments remove the requirement for licensees to gain redundant approval for an outside area.,OLCC 12-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842530
845,Oregon Liquor Control Commission,10/05/2017 4:26 PM,The rules clarify the procedures for a wholesale licensee to provide trimming services.,OLCC 13-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842538
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",10/05/2017 4:40 PM,Hospital Assessment Rate Reduced to 5.3 Percent,DMAP 43-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842582
137,Department of Justice,10/06/2017 8:52 AM,"Provision of services for administrative hearings, arrears establishment and case closure; new hire reporting.",DOJ 6-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842599
603,Department of Agriculture,10/06/2017 3:29 PM,Temporary rules for sampling and testing pre-harvest industrial hemp for Tetrahydrocannabinol content.,DOA 15-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842523
860,Public Utility Commission,10/06/2017 5:10 PM,In the Matter of Rules Regarding Oregon Universal Service Fund Process and Procedures.,PUC 7-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842515
177,Oregon State Lottery,10/09/2017 12:11 PM,Amends payment rules to permit payment through power of attorney and with a payment card.,LOTT 5-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842548
581,Oregon Department of Education,10/10/2017 9:09 AM,Modified Diploma,ODE 17-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842567
274,Department of Veterans' Affairs,10/10/2017 6:15 PM,Campus Veteran Resource Center Grant Program,DVA 2-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842553
333,"Oregon Health Authority, Public Health Division",10/12/2017 11:56 AM,High Priority Chemicals of Concern for Children's Health Used in Children's Products,PH 10-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842528
333,"Oregon Health Authority, Public Health Division",10/13/2017 2:37 PM,"POLST Verbal Orders, Authorized Signers and Sunset of POLST Registry Advisory Committee",PH 11-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842549
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",10/13/2017 4:15 PM,Prioritized List Effective 10/1/17,DMAP 40-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842551
635,Department of Fish and Wildlife,10/17/2017 10:49 AM,Modifications to the Chetco River Ocean Terminal Area Fishery,DFW 130-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842560
635,Department of Fish and Wildlife,10/17/2017 11:12 AM,Northeast and Snake River Zone Steelhead Bag Limit Modifications,DFW 131-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842561
635,Department of Fish and Wildlife,10/17/2017 11:25 AM,Salmon Seasons for Commercial and Sport Fisheries In the Pacific Ocean,DFW 132-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842562
635,Department of Fish and Wildlife,10/17/2017 4:30 PM,Amend Rules Relating to Oregon Cougar Management Plan,DFW 133-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842564
635,Department of Fish and Wildlife,10/17/2017 4:41 PM,Modified 2017 White Sturgeon Recreational Fisheries in the Mainstem Columbia,DFW 134-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842565
635,Department of Fish and Wildlife,10/17/2017 4:44 PM,Modified 2017 White Sturgeon Recreational Fisheries in the Mainstem Columbia,DFW 135-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842566
635,Department of Fish and Wildlife,10/18/2017 10:58 AM,"Sprague River Closed to Angling November 1 through December 31, 2017",DFW 136-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842568
259,Department of Public Safety Standards and Training,10/18/2017 11:07 AM,Adds 3 hours of Mental Health/Crisis Intervention training to law enforcement certification maintenance training.,DPSST 15-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842569
259,Department of Public Safety Standards and Training,10/18/2017 11:38 AM,Changes the definition of discharge for cause for mandatory revocation of fire service professional certification.,DPSST 16-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842570
345,"Department of Energy, Energy Facility Siting Council",10/18/2017 2:56 PM,"Amend rules and rule provisions addressing structural, geologic, and seismic related issues and hazards.",EFSC 2-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842573
437,"Department of Consumer and Business Services, Oregon Occupational Safety and Health Division",10/18/2017 3:45 PM,Typographical Corrections to the Oxygen-Fuel Gas Welding Rule,OSHA 7-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842574
603,Department of Agriculture,10/18/2017 5:04 PM,Adding conversion goals and requirements for commercial egg farms; outlining ODA's authority and procedures.,DOA 16-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842576
440,"Department of Consumer and Business Services, Director's Office",10/19/2017 8:56 AM,2018 Workers’ Compensation Premium Assessment Rates,DO 2-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842577
440,"Department of Consumer and Business Services, Director's Office",10/19/2017 9:18 AM,2018 Workers’ Compensation Premium Assessment Rates,DO 3-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842579
436,"Department of Consumer and Business Services, Workers' Compensation Division",10/19/2017 9:49 AM,Criteria for determining number of arbiters for medical arbiter panel; implementation of House Bill 2335,WCD 5-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842580
635,Department of Fish and Wildlife,10/19/2017 11:15 AM,Federal Actions and Management Measures Implemented for Commercial Groundfish Fisheries.,DFW 137-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842578
859,Psychiatric Security Review Board,10/19/2017 3:09 PM,Removing Extraneous Characters from Rule Text,PSRB 2-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842581
736,Parks and Recreation Department,10/20/2017 11:32 AM,Correcting statutory reference and grammatical error in (3) (a) and (b),PRD 4-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842584
811,Board of Chiropractic Examiners,10/20/2017 12:39 PM,Creates a broader exemption for over-the-counter substances CE,BCE 5-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842585
736,Parks and Recreation Department,10/20/2017 12:53 PM,Revise rules governing Fees for Public Records,PRD 5-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842583
441,"Department of Consumer and Business Services, Finance and Securities Regulation",10/20/2017 1:30 PM,Licensing of Mortgage Servicers,FSR 9-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842586
715,Higher Education Coordinating Commission,10/20/2017 2:13 PM,Distribution of Engineering Technology Sustaining Funds to Oregon public universities.,HECC 1-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842587
259,Department of Public Safety Standards and Training,10/20/2017 2:29 PM,"Rule division reorganization; Amends internship process and requirements, PLAC duties, review of convictions and conduct.",DPSST 17-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842575
734,"Department of Transportation, Highway Division",10/20/2017 3:10 PM,MCTD address,HWD 3-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842588
734,"Department of Transportation, Highway Division",10/20/2017 3:17 PM,MCTD address,HWD 4-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842589
734,"Department of Transportation, Highway Division",10/20/2017 3:25 PM,MCTD address,HWD 5-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842590
734,"Department of Transportation, Highway Division",10/20/2017 3:29 PM,MCTD address,HWD 6-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842591
735,"Department of Transportation, Driver and Motor Vehicle Services Division",10/20/2017 3:34 PM,MCTD address,DMV 16-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842592
740,"Department of Transportation, Motor Carrier Transportation Division",10/20/2017 3:39 PM,MCTD address,MCTD 5-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842593
859,Psychiatric Security Review Board,10/20/2017 3:41 PM,Correcting numbering within rule filed in The Oregon Bulletin in March 2016.,PSRB 3-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842594
740,"Department of Transportation, Motor Carrier Transportation Division",10/20/2017 3:44 PM,MCTD address,MCTD 6-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842595
811,Board of Chiropractic Examiners,10/20/2017 4:03 PM,Accommodates delegation of exams to national testing agency;,BCE 6-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842597
309,"Oregon Health Authority, Health Systems Division: Behavioral Health Services",10/23/2017 10:02 AM,Adopt temporary rules implementing community consultations for individuals unable to aid in their criminal defense,MHS 13-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842600
291,Department of Corrections,10/23/2017 10:13 AM,Access to Law libraries in Department of Corrections Facilities.,DOC 14-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842601
735,"Department of Transportation, Driver and Motor Vehicle Services Division",10/23/2017 11:05 AM,Proof of School Attendance or Completion,DMV 17-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842571
345,"Department of Energy, Energy Facility Siting Council",10/23/2017 2:23 PM,Amend the monetary offset rate for carbon dioxide (CO2) emissions and correct CO2 equivalency weights.,EFSC 3-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842572
836,"Department of Consumer and Business Services, Insurance Regulation",10/23/2017 2:40 PM,Workers' Compensation Statistical Plan,ID 9-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842609
441,"Department of Consumer and Business Services, Finance and Securities Regulation",10/23/2017 2:57 PM,Licensing of Mortgage Servicers,FSR 10-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842610
945,"Department of Consumer and Business Services, Health Insurance Marketplace",10/23/2017 3:44 PM,Minor correction for rule references in 945-060-0020,HMP 4-2017,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842605
635,Department of Fish and Wildlife,10/23/2017 4:21 PM,Commercial Bay Dungeness Crab Fishery Closes in the Event of a Shellfish Health Closure.,DFW 138-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842611
345,"Department of Energy, Energy Facility Siting Council",10/24/2017 1:50 PM,Reorganization of Div. 27 and rewrite of rules governing requests for amendments to site certificates.,EFSC 4-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842612
635,Department of Fish and Wildlife,10/24/2017 2:42 PM,Modifications to the Chetco River Ocean Terminal Area Fishery,DFW 139-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842613
345,"Department of Energy, Energy Facility Siting Council",10/24/2017 4:37 PM,Reorganization of Div. 27 and rewrite of rules governing requests for amendments to site certificates.,EFSC 5-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842615
170,Oregon State Treasury,10/24/2017 5:07 PM,Amendments to the Oregon Retirement Savings Program rules,OST 6-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842616
333,"Oregon Health Authority, Public Health Division",10/25/2017 8:43 AM,Updated Computed Tomography (CT) operator requirements and amended radiation rules for federal compatibility,PH 12-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842598
333,"Oregon Health Authority, Public Health Division",10/25/2017 8:44 AM,Health Care Practitioner Referral,PH 13-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842596
735,"Department of Transportation, Driver and Motor Vehicle Services Division",10/25/2017 1:19 PM,Reorganization of Rule Divisions Regarding Registration and Plates,DMV 18-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842618
918,"Department of Consumer and Business Services, Building Codes Division",10/25/2017 3:41 PM,Amends the Oregon Structural Specialty Code for construction for Emergency Responder Radio Coverage,BCD 14-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842619
137,Department of Justice,10/25/2017 4:15 PM,Amending rules relating to tobacco product manufacturers.,DOJ 7-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842620
259,Department of Public Safety Standards and Training,10/26/2017 12:00 PM,"Adds COFA residency as eligible for certification in Police, Corrections and P&P; per HB2594.",DPSST 18-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842622
847,Oregon Medical Board,10/26/2017 1:47 PM,Applications for licensure must be kept current throughout application process,OMB 8-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842623
847,Oregon Medical Board,10/26/2017 1:54 PM,Medical school clinical clerkships and preceptorships,OMB 9-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842624
847,Oregon Medical Board,10/26/2017 2:06 PM,Application withdrawals and denials,OMB 10-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842625
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",10/26/2017 3:02 PM,Removing 10-day draft APS Report and updating Background Check rules for APD AFHs,APD 24-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842621
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",10/26/2017 3:02 PM,Removal of 10-day draft APS Report for Residential Care and Assisted Living Facilities,APD 25-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842604
611,"Department of Agriculture, Oregon Raspberry and Blackberry Commission",10/26/2017 4:53 PM,"Sets rules for Commissioner per diem compensation, incurring and reimbursement of travel and other expenses.",ORBC 1-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842630
668,"Department of Agriculture, Oregon Strawberry Commission",10/26/2017 5:02 PM,"Sets rules for Commissioner per diem compensation, incurring and reimbursement of travel and other expenses.",SBY 1-2017,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842631
635,Department of Fish and Wildlife,10/27/2017 7:42 AM,Modifications to 2017 Fall Recreational and White Sturgeon Recreational Fisheries in the Mainstem Columbia,DFW 140-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842629
635,Department of Fish and Wildlife,10/27/2017 7:43 AM,Modifications to 2017 Fall Recreational and White Sturgeon Recreational Fisheries in the Mainstem Columbia,DFW 141-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842628
635,Department of Fish and Wildlife,10/27/2017 7:43 AM,Modify 2017 Fall Treaty Indian Platform and Hook and Line Fishery in the Mainstem Columbia.,DFW 142-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842627
635,Department of Fish and Wildlife,10/27/2017 7:46 AM,Modifications to 2017 Fall Recreational and White Sturgeon Recreational Fisheries in the Mainstem Columbia,DFW 143-2017,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6842632
