Issuing body	Published	File url	Ref	Summary	Title	file name 
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	06/07/2016	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2016/07/BA8D8.PDF	Decreto Municipal-Nahulingo	La siguiente Ordenanza tiene por objeto establecer disposiciones que regulen la plantación, poda y tala de árboles en el radio urbano del Municipio de Nahulingo, Departamento de Sonsonate y además proteger y aprovechar los recursos forestales en áreas municipales y de uso restringido dentro del área de su competencia.	ORDENANZA MUNICIPAL REGULADORA SOBRE LA PLANTACION, PODA Y TALA DE ARBOLES, EN LA ZONA URBANA Y ZONAS DE USO RESTRINGIDO EN EL AREA RURAL DEL MUNICIPIO DE NAHULINGO, DEPARTAMENTO DE SONSONATE	eaf4e0dc723af879d120ef1b00ab9050727e6165
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería)	10/03/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/03/C0413.PDF	Acuerdo Ejecutivo	El presente Acuerdo tiene entre sus objetivos regular el manejo y aprovechamiento en forma sostenible de los recursos forestales y el desarrollo de la industria maderera y contribuir a incrementar la producción y la productividad agropecuaria mediante la utilización racional de los recursos suelo, agua y forestal, a fin de dinamizar el desarrollo sostenible del país.	ACUERDO SOBRE LINEAMIENTOS PARA ORDENANZAS MUNICIPALES QUE TENGAN COMO FIN LA PROTECCION Y APROVECHAMIENTO DE RECURSOS FORESTALES EN AREAS DE USO RESTRINGIDO	081affee12e9cd3823f6e692f4b245d7b426e040
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	24/03/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/03/C0BC0.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida Hacienda La Chapina, ubicado en el Cantón La Chapina, Municipio de Izalco, departamento de Sonsonate, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA EL INMUEBLE DENOMINADO HACIENDA LA CHAPINA, UBICADO EN EL MUNICIPIO DE IZALCO, DEPARTAMENTO DE SONSONATE	90919162567bfe906f1cf09d1cef599123c62779
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería)	07/04/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/04/C134E.PDF	Acuerdo Ejecutivo	El presente Acuerdo tiene como objetivo la creación de una nueva Comisión Forestal, como un organismo consultivo de concertación y coordinación del sector forestal responsable de velar por el desarrollo tecnológico e industrial de los recursos forestales, incentivos y demás actividades que tiendan a la recuperación y aprovechamiento sostenible de la cobertura arbórea en el territorio nacional, teniendo como objeto propiciar la participación activa de actores claves del desarrollo forestal sostenible y armonizar e integrar los marcos políticos, legales e institucionales relativo a los recursos forestales, vinculando aspectos financieros y tecnológicos integrados en las cadenas productivas o estrategias de desarrollo.	ACUERDO POR MEDIO DEL CUAL SE CREA LA COMISION FORESTAL	5bd487f586a3ea32d231ad019df16fcd6e1bcb9e
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	04/07/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/07/C35A5.PDF	Decreto Municipal-Ciudad Barrios	La presente ordenanza tiene por objeto propiciar el cambio de conducta en la población de Ciudad Barrios, Departamento de San Miguel, que contribuya al uso eficiente y sostenible del agua y del suelo por medio de un proceso de educación y sensibilización ambiental, que coordinado con otras autoridades competentes apoyen las labores de la Unidad Ambiental Municipal incluyendo la divulgación y cumplimiento de la presente Ordenanza.	ORDENANZA MUNICIPAL PARA LA PROTECCION DE LAS ZONAS DE RECARGA HIDRICA, USO Y APROVECHAMIENTO RESPONSABLE DE LOS RECURSOS HIDRICOS EN EL MUNICIPIO DE CIUDAD BARRIOS, DEPARTAMENTO DE SAN MIGUEL	bcf7f64ed5d7aa94ce6b7b25fbd93015c4a465b2
ORGANO LEGISLATIVO	04/04/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/04/C11A2.PDF	Decreto Legislativo	La presente ley tiene por objeto prohibir la minería metálica en el suelo y el subsuelo del territorio de la República.	LEY DE PROHIBICION DE LA MINERIA METALICA	ee138a1023f781538d92c797673b429551153a3e
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	23/10/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/10/C5EAB.PDF	Decreto Municipal-Cinquera	La presente Ordenanza tiene por objeto prohibir en el municipio de Cinquera, Departamento de Cabañas toda actividad relacionada con el fomento, la promoción, la exploración y explotación de minería metálica en todas sus formas.	ORDENANZA MUNICIPAL PARA LA PROHIBICION DE PROYECTOS DE EXPLORACION Y EXPLOTACION DE MINERALES METALICOS EN EL MUNICIPIO DE CINQUERA, DEPARTAMENTO DE CABAÑAS	af2780355dc0b86eba5b42a44b0f1491b16ed540
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	13/06/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/06/CCC94.PDF	Decreto Municipal-San Marcos	La presente ordenanza tiene por objeto decretar el Plan de Desarrollo Territorial del Municipio de San San Marcos, Departamento de San Salvador que incorpora regulaciones referentes a: desarrollo urbano territorial e infraestructura; medio ambiente y riesgo; movilidad y transporte, y; aspectos socio económicos.	ORDENANZA DEL PLAN DE DESARROLLO TERRITORIAL DEL MUNICIPIO DE SAN MARCOS, DEPARTAMENTO DE SAN SALVADOR	dab533ab511b29df2837bd6c7d5dc91a9ea17561
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/12/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/12/C76C9.PDF	Decreto Ejecutivo	Por medio del presente Decreto Ejecutivo se actualizan las directrices de zonificación ambiental y los usos del suelo para el municipio de Nuevo Cuscatlán, Departamento de La Libertad, en los términos que son establecidos en el documento anexo al presente Decreto.	DIRECTRICES DE ZONIFICACION AMBIENTAL Y LOS USOS DEL SUELO PARA EL MUNICIPIO DE NUEVO CUSCATLAN, DEPARTAMENTO DE LA LIBERTAD	5a47e49af7354d5edeef87127849614ffe502aa3
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	01/02/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/02/C9F47.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""LA LABOR"", municipio y departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA LA LABOR, MUNICIPIO DE AHUACHAPAN, DEPARTAMENTO DE AHUACHAPAN	5e5e709f6a5b664f3aedef6467b6095af9c86122
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	01/02/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/02/C9F45.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""BUENOS AIRES"", ubicado en el municipio de Juayúa, departamento de Sonsonate, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA BUENOS AIRES, MUNICIPIO DE JUAYUA, DEPARTAMENTO DE SONSONATE	26bf46e1e159c2c18d16347efc93eb3a70132598
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	01/02/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/02/C9F44.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ATEHUESIAN"", ubicado en el Cantón Palo Pique, municipio y departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ATEHUESIAN, MUNICIPIO DE AHUACHAPAN, DEPARTAMENTO DE AHUACHAPAN	0d8a4cee0fd8458ab529a19c37844de79cd4305f
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	15/03/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/03/CAA43.PDF	Decreto Municipal-San Simón	La presente ordenanza tiene por objeto propiciar el cambio de conducta en la población de San Simón, Departamento de Morazán, que contribuya al uso eficiente y sostenible de los recursos naturales con énfasis en el agua y el suelo, por medio de un proceso de educación, sensibilización y concientización ambiental, que coordinado con otras autoridades competentes en San Simón, apoyen las labores de la Unidad Ambiental Municipal y Unidad de Promoción Social incluyendo la divulgación y cumplimiento de la presente Ordenanza.	ORDENANZA MUNICIPAL PARA LA PROTECCION DE LAS ZONAS DE RECARGA HIDRICA, USO Y APROVECHAMIENTO RESPONSABLE DE LOS RECURSOS HIDRICOS EN EL MUNICIPIO DE SAN SIMON, DEPARTAMENTO DE MORAZAN	d6c44cce4bf31094b8a9c637cdd5dcfb09444e56
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	12/04/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/04/CBDB5.PDF	Decreto Municipal-San Salvador	La presente ordenanza tiene por objeto establecer las normas que permitan regular el aprovechamiento de los recursos naturales contenidos en el cerro San Jacinto, ubicado en el Municipio y Departamento de San Salvador, a fin de lograr su protección, conservación y restauración; bajo los principios de prevención y precaución y los enfoques de sustentabilidad ambiental y ecológico del riesgo, para proteger a la ciudadanía de los desastres que podrían ocurrir por la degradación ambiental del mismo.	ORDENANZA MUNICIPAL PARA LA PROTECCION DE LOS RECURSOS NATURALES Y DEL MEDIO AMBIENTE DEL CERRO SAN JACINTO, UBICADO EN EL MUNICIPIO Y DEPARTAMENTO DE SAN SALVADOR	3ce4a2881fdf2c28d1cf8e947c2244514d33d376
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería)	06/09/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/09/CE7C4.PDF	Acuerdo Ejecutivo	Por medio del presente Acuerdo se crea la Comisión Nacional de Incendios Forestales, como un organismo consultivo de concertación y coordinación del sector forestal responsable de velar por la prevención y demás actividades que tiendan a la restauración, compensación o recuperación de la cobertura arbórea en el territorio nacional.	ACUERDO POR MEDIO DEL CUAL SE CREA LA COMISION NACIONAL DE INCENDIOS FORESTALES	499d53dc1153a9b3ba13fa58939b996efe5b677f
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	04/01/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/01/D2D06.PDF	Decreto Ejecutivo	El objeto del presente Decreto Ejecutivo es la revisión y actualización de las directrices para la zonificación ambiental y los usos del suelo, puede ser desarrollada de oficio por el Ministerio de Medio Ambiente y Recursos Naturales o a requerimiento del gobierno central, del municipio, de la asociación de municipios y oficinas de planificación territorial, según sea el caso.	DIRECTRICES PARA LA ZONIFICACION AMBIENTAL Y LOS USOS DEL SUELO PARA LA REGION NOROCCIDENTAL	90dab407a89a37577642ac8fc210a2cbd290b987
ORGANO EJECUTIVO (Ministerio de Agricultura y Ganadería)	11/10/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/10/CF661.PDF	Acuerdo Ejecutivo	El presente instructivo tiene como fin establecer el procedimiento administrativo y criterios técnicos y legales para la aprobación de parcelaciones y la emisión de solvencias de cuotas o tarifas para los Distritos de Riego y Avenamiento transferidos y no transferidos.	INSTRUCTIVO REGULADOR PARA APROBACION DE PARCELACIONES Y EMISION DE SOLVENCIAS DE CUOTAS Y TARIFAS DENTRO DE LOS DISTRITOS DE RIEGO Y AVENAMIENTO	3eb7dca2b45b82baefdbc429892c7948b8de9127
ORGANO LEGISLATIVO	24/10/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/10/CFA48.PDF	Decreto Legislativo	Por medio del presente Decreto Legislativo se faculta al Consejo de Administración del Fondo Especial de los Recursos Provenientes de la Privatización de ANTEL, FANTEL, para que destine recursos del área de Promoción de Empleo a través de la Inversión Extranjera, las Exportaciones y el Turismo, al área de Desarrollo Productivo y Protección Forestal.	DECRETO POR MEDIO DEL CUAL SE ESTABLECEN DISPOSICIONES ESPECIALES Y TRANSITORIAS APLICABLES A LA LEY DEL FONDO ESPECIAL DE LOS RECURSOS PROVENIENTES DE LA PRIVATIZACION DE ANTEL, PARA APOYAR AL MINISTERIO DE AGRICULTURA Y GANADERIA	9ac6cbdd4c65647b1fd77c0156127b0e794a2703
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	07/11/2018	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2018/11/D01E5.PDF	Decreto Municipal-Yayantique	El objeto de la presente ordenanza es regular el uso racional de los recursos naturales, evitar su destrucción, contaminación y extinción para la protección y mejora del medio ambiente y la calidad de vida de la población del Municipio de Yayantique, Departamento de La Unión.	ORDENANZA PARA LA PROTECCION Y CONSERVACION DEL MEDIO AMBIENTE DEL MUNICIPIO DE YAYANTIQUE, DEPARTAMENTO DE LA UNION	73cfebcaf10f5fd66463591c8f89ff45175019ce
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	21/03/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/03/D44AF.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA PERICO"", ubicada en el municipio y departamento de La Unión, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA PERICO, MUNICIPIO DE LA UNION, DEPARTAMENTO DE LA UNION	ff4e8019f970d3df78b0412929a3ead0fecc7615
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	24/04/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/04/D49BF.PDF	Decreto Ejecutivo-10	Por medio del presente Decreto Ejecutivo se establecen guías técnicas que faciliten a los titulares de actividades, obras o proyectos, la elaboración de estudios especializados que son desarrollados previos o durante la elaboración del Estudio de Impacto Ambiental	DECRETO POR MEDIO DEL CUAL SE ESTABLECEN GUIAS TECNICAS PARA FACILITAR A LOS TITULARES DE ACTIVIDADES, OBRAS O PROYECTOS, LA ELABORACION DE ESTUDIOS ESPECIALIZADOS QUE SON DESARROLLADOS COMO PARTE DEL PROCESO DE EVALUACION DEL IMPACTO AMBIENTAL	3f64a83f713c160422af794773e1361492aa0579
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	03/10/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/10/D7F05.PDF	Decreto Municipal-Gualococti-3	La presente ordenanza tiene por objeto propiciar el cambio de conducta de la población del Municipio de Gualococti, Departamento de Morazán, que contribuya al uso eficiente y sostenible de los recursos naturales con énfasis en el agua y el suelo, por medio de un proceso de educación, sensibilización y concientización ambiental, que coordinado con otras autoridades competentes en Gualococti, apoyen las labores de divulgación y cumplimiento de la presente Ordenanza, que la Unidad Ambiental Municipal y la Unidad de Promoción Social desarrollarán para tal efecto.	ORDENANZA MUNICIPAL PARA LA PROTECCION DE LAS ZONAS DE RECARGA HIDRICA, USO Y APROVECHAMIENTO RESPONSABLE DEL RECURSO HIDRICO EN EL MUNICIPIO DE GUALOCOCTI, DEPARTAMENTO DE MORAZAN	7c3fe0d462f2358528cffd36e9f95295caf3d231
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	18/10/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/10/D85A0.PDF	Decreto Municipal-Olocuilta-3	La presente ordenanza tiene por objeto la protección del recurso forestal de las zonas urbanas siendo estas públicas y/o privadas del municipio de Olocuilta, Departamento de La Paz, mediante la regulación de las actividades de siembra, poda y tala de árboles.	ORDENANZA REGULADORA PARA EL APROVECHAMIENTO Y USO RACIONAL DEL RECURSO FORESTAL EN LAS ZONAS URBANAS DEL MUNICIPIO DE OLOCUILTA, DEPARTAMENTO DE LA PAZ	5705f2728165e1faefb5a3d82ce2332105f73c0f
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	01/11/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/11/D8D49.PDF	Decreto Municipal-Nuevo Cuscatlán-5	La presente Ordenanza tiene por objeto la protección e incremento del patrimonio arbóreo del Municipio de Nuevo Cuscatlán, Departamento de La Libertad, mediante el establecimiento del marco normativo y técnico que regule las actividades de siembra, poda y tala de árboles y arbustos en el espacio público.	ORDENANZA PARA LA PROTECCION DEL PATRIMONIO ARBOREO DEL MUNICIPIO DE NUEVO CUSCATLAN, DEPARTAMENTO DE LA LIBERTAD	b107cc9551194fd64dc71e13202ad2e1ddc76ada
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	11/12/2019	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2019/12/DA09C.PDF	Decreto Ejecutivo-24	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida denominada ""Finca Santa Marta"", ubicada en lugar Cantón Vainillas, jurisdicción de El Carrizal, departamento de Chalatenango, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA DENOMINADA FINCA SANTA MARTA, UBICADA EN EL MUNICIPIO DE EL CARRIZAL, DEPARTAMENTO DE CHALATENANGO	7ae259af8f09a74e7f19e57d49b27481be64dc4a
ORGANO LEGISLATIVO	27/02/2020	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2020-2029/2020/02/DBF64.PDF	Decreto Legislativo-527	La presente ley tiene por objeto lograr el aprovechamiento y disposición final sanitaria y ambientalmente segura de los residuos, a fin de proteger la salud de las personas, el medio ambiente y fomentar una economía circular, a través del establecimiento de una visión sistémica en la gestión integral de los residuos, la determinación de los actores y su forma de interacción, y la asignación de responsabilidades para lograr cambios conductuales en la población.	LEY DE GESTION INTEGRAL DE RESIDUOS Y FOMENTO AL RECICLAJE	753300f5baf327a582ddce02175c9ba42da793fb
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/07/2020	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2020-2029/2020/07/DEFCD.PDF	Decreto Municipal-San Francisco Menéndez-6	El objeto de la presente Ordenanza es compatibilizar la normativa vigente en la materia, estableciendo un modelo adecuado de actuación y gestión en las playas, y en los esteros del Municipio de San Francisco Menéndez, Departamento de Ahuachapán; así como regular las condiciones generales de ordenamiento en la ejecución de todo tipo de obras de construcción, en orden a la seguridad, a la salud pública y a la protección del medio ambiente, mediante el establecimiento de los procedimientos a seguir y los requisitos que deberán cumplir los proyectos de urbanización, parcelación y construcción ubicados en las zonas costeras.	ORDENANZA REGULADORA DE LAS OBRAS DE CONSTRUCCION Y DE LAS ACTIVIDADES COMERCIALES EN LAS ZONAS DE LA PLAYA Y ESTERO DE SAN FRANCISCO MENENDEZ, DEPARTAMENTO DE AHUACHAPAN	05f5ba472db01283102638322737972ad1ddca21
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	06/10/2020	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2020-2029/2020/10/E0DDC.PDF	Acuerdo Ejecutivo-98	El presente Acuerdo establece las condiciones de aprovechamiento de las especies de fauna silvestre, sujetas a cacería deportiva en El Salvador, estipulando los requisitos, tiempos de aprovechamiento; especies sujetas a dicha actividad; sitios autorizados; cuotas o cantidades de especímenes aprovechables; métodos y prohibiciones.	ACUERDO POR MEDIO DEL CUAL SE DICTAN DISPOSICIONES REGULADORAS DEL EJERCICIO DE LA CACERIA DEPORTIVA EN EL SALVADOR	7f67b32d0c2e142031f3febbeee556ef40522ccf
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/01/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/01/AC2CC.PDF	Decreto Municipal-Huizúcar	La presente Ordenanza tiene por objeto, promover el desarrollo sostenible del Municipio de Huizúcar, del departamento de La Libertad, y de la microrregión conformada por la Asociación de Municipios del Sur de La Libertad, de la cual forma parte, por medio de la regulación en su ámbito geográfico y competencial de los usos del territorio y el control de las actuaciones urbanísticas, en la construcción del desarrollo integral y sostenible que ubique como centro de las actuaciones de la administración municipal, al ser humano y su bienestar social, económico y ambiental, velando por la preservación para las nuevas generaciones de un medio ambiente sano, que priorice la protección y el aprovechamiento efectivo de los recursos hídricos, la gestión de desarrollo local con enfoque de prevención y la mitigación de vulnerabilidades físicas, materiales y ambientales de la localidad.	ORDENANZA REGULADORA DE USOS DE SUELO Y ACTUACIONES URBANISTICAS DEL MUNICIPIO DE HUIZUCAR, DEPARTAMENTO DE LA LIBERTAD	55b3aab4c5849c9cc47133088de5156c8b834258
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/01/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/01/AC2BF.PDF	Decreto Municipal-Chiltiupán	La presente Ordenanza tiene por objeto, promover el desarrollo sostenible del Municipio de Chiltiupán, del departamento de La Libertad, y de la microrregión conformada por la Asociación de Municipios del Sur de La Libertad, de la cual forma parte, por medio de la regulación en su ámbito geográfico y competencial de los usos del territorio y el control de las actuaciones urbanísticas, en la construcción del desarrollo integral y sostenible que ubique como centro de las actuaciones de la administración municipal, al ser humano y su bienestar social, económico y ambiental, velando por la preservación para las nuevas generaciones de un medio ambiente sano, que priorice la protección y el aprovechamiento efectivo de los recursos hídricos, la gestión de desarrollo local con enfoque de prevención y la mitigación de vulnerabilidades físicas, materiales y ambientales de la localidad.	ORDENANZA REGULADORA DE USOS DE SUELO Y ACTUACIONES URBANISTICAS DEL MUNICIPIO DE CHILTIUPAN, DEPARTAMENTO DE LA LIBERTAD	8ed012f4bdd0792763a10934d361161f66bc02c0
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	27/01/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/01/AC2B4.PDF	Decreto Municipal-Zaragoza	La presente Ordenanza tiene por objeto, promover el desarrollo sostenible del Municipio de Zaragoza, del departamento de La Libertad, y de la microrregión conformada por la Asociación de Municipios del Sur de La Libertad, de la cual forma parte, por medio de la regulación en su ámbito geográfico y competencial de los usos del territorio y el control de las actuaciones urbanísticas, en la construcción del desarrollo integral y sostenible que ubique como centro de las actuaciones de la administración municipal, al ser humano y su bienestar social, económico y ambiental, velando por la preservación para las nuevas generaciones de un medio ambiente sano, que priorice la protección y el aprovechamiento efectivo de los recursos hídricos, la gestión de desarrollo local con enfoque de prevención y la mitigación de vulnerabilidades físicas, materiales y ambientales de la localidad.	ORDENANZA REGULADORA DE USOS DE SUELO Y ACTUACIONES URBANISTICAS DEL MUNICIPIO DE ZARAGOZA, DEPARTAMENTO DE LA LIBERTAD	767c669d3d08bfe2c672ec30908c51dbb645ad3b
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	12/02/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/02/AC78E.PDF	Decreto Municipal-Santo Tomás	Esta Ordenanza tiene como objeto establecer en este municipio las diferentes zonas con sus correspondientes usos del suelo, sobre la base de los lineamientos planteados en el Plan de Usos y Ocupación del Suelo de Santo Tomás; la Zonificación Ambiental y Usos de Suelo de la Subregión Metropolitana de San Salvador (SRMSS), emitida por el Ministerio de Medio Ambiente y Recursos Naturales; así como especificar cuál será la actuación urbanística, los requisitos que deberá cumplir cualquier persona interesada en ejecutar un proyecto en el municipio de Santo Tomás y el procedimiento a seguir para obtener una licencia, autorización y/o un permiso. El Plan de Usos y Ocupación del Suelo y la Zonificación Ambiental y Usos de Suelo de la Subregión Metropolitana de San Salvador (SRMSS), ambos de Santo Tomás son herramientas para el ordenamiento del territorio y por consiguiente instrumentos para el desarrollo local del Municipio, por lo tanto son complementarias a la presente Ordenanza.	ORDENANZA REGULADORA DEL USO Y OCUPACION DEL SUELO DEL MUNICIPIO DE SANTO TOMAS, DEPARTAMENTO DE SAN SALVADOR	bba5bdb49b9983776362735336127ede2b5db5c4
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	28/05/2015	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2015/05/AFA89.PDF	Decreto Municipal-Sensembra	La presente Ordenanza tiene por objeto regular las disposiciones concernientes al uso y protección del suelo, agua y flora, lo que mejorará las condiciones de la vida silvestre y ciudadanía en la Jurisdicción del Municipio de Sensembra, Departamento de Morazán.	ORDENANZA SOBRE MEDIO AMBIENTE DEL MUNICIPIO DE SENSEMBRA, DEPARTAMENTO DE MORAZAN	cfe0ee34a32cd0abcf4b08a414e86a37fd27e3ce
